"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
North America,"124,712,309",,"1,612,522",,"119,998,088","+1,530","3,101,699","7,892",,,,,,"Last updated: March 04, 2023, 13:50 "
Asia,"214,473,337","+33,632","1,537,319",+172,"199,108,379","+53,006","13,827,639","15,471",,,,,,"Last updated: March 04, 2023, 13:50 "
Europe,"246,554,920","+24,159","2,019,345",+62,"242,092,744","+25,221","2,442,831","6,481",,,,,,"Last updated: March 04, 2023, 13:50 "
South America,"68,042,905",+212,"1,350,913",+7,"66,293,552",+90,"398,440","10,190",,,,,,"Last updated: March 04, 2023, 13:50 "
Oceania,"14,015,805",,"26,203",,"13,852,354",,"137,248",55,,,,,,"Last updated: March 04, 2023, 13:50 "
Africa,"12,796,326",,"258,590",,"12,076,332",,"461,404",548,,,,,,"Last updated: March 04, 2023, 13:50 "
,721,,15,,706,,0,0,,,,,,"Last updated: March 04, 2023, 13:50 "
World,"680,596,323","+58,003","6,804,907",+241,"653,422,155","+79,847","20,369,261","40,637","87,314",873.0,,,,"Last updated: March 04, 2023, 13:50 "
USA,"105,392,498",,"1,146,723",,"102,846,371",,"1,399,404","2,726","314,787","3,425","1,167,591,546","3,487,375","334,805,269","Last updated: March 04, 2023, 13:50 "
India,"44,687,496",,"530,775",,"44,154,035",,"2,686",N/A,"31,769",377,"918,992,653","653,329","1,406,631,776","Last updated: March 04, 2023, 13:50 "
France,"39,634,146",,"165,030",,"39,397,284",,"71,832",869,"604,322","2,516","271,490,188","4,139,547","65,584,518","Last updated: March 04, 2023, 13:50 "
Germany,"38,210,850",,"168,397",,"37,746,700","+3,900","295,753",N/A,"455,522","2,008","122,332,384","1,458,359","83,883,596","Last updated: March 04, 2023, 13:50 "
Brazil,"37,076,053",,"699,276",,"36,249,161",,"127,616",N/A,"172,164","3,247","63,776,166","296,146","215,353,593","Last updated: March 04, 2023, 13:50 "
Japan,"33,251,497","+10,431","72,721",+81,"21,692,695","+3,387","11,486,081",131,"264,773",579,"95,589,075","761,151","125,584,838","Last updated: March 04, 2023, 13:50 "
S. Korea,"30,555,102","+11,121","34,020",+6,"30,350,687","+29,317","170,395",143,"595,269",663,"15,804,065","307,892","51,329,899","Last updated: March 04, 2023, 13:50 "
