"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
Qatar,"495,558",+173,688,,"494,371",+487,499,26,"166,299",231,"4,065,369","1,364,257","2,979,915","Last updated: March 13, 2023, 13:55 "
Réunion,"486,588",,921,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061","Last updated: March 13, 2023, 13:55 "
Honduras,"472,301",,"11,111",,N/A,N/A,N/A,105,"46,208","1,087","1,638,354","160,289","10,221,247","Last updated: March 13, 2023, 13:55 "
Armenia,"447,308",,"8,727",,"435,162",,"3,419",,"150,509","2,936","3,242,901","1,091,164","2,971,966","Last updated: March 13, 2023, 13:55 "
Bosnia and Herzegovina,"401,729",,"16,280",,"379,084",,"6,365",,"123,635","5,010","1,884,721","580,036","3,249,317","Last updated: March 13, 2023, 13:55 "
Oman,"399,449",,"4,628",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993","Last updated: March 13, 2023, 13:55 "
North Macedonia,"346,852",,"9,662",,"337,068",,122,,"166,651","4,642","2,226,216","1,069,626","2,081,304","Last updated: March 13, 2023, 13:55 "
Zambia,"343,135",,"4,057",,"338,854",,224,,"17,624",208,"3,943,335","202,531","19,470,234","Last updated: March 13, 2023, 13:55 "
Kenya,"342,937",,"5,688",,"337,222",,27,1,"6,100",101,"3,967,062","70,569","56,215,221","Last updated: March 13, 2023, 13:55 "
Albania,"334,497",,"3,598",,"329,219",,"1,680",,"116,697","1,255","1,941,032","677,173","2,866,374","Last updated: March 13, 2023, 13:55 "
Botswana,"329,758",,"2,801",,"326,916",,41,1,"135,082","1,147","2,026,898","830,300","2,441,162","Last updated: March 13, 2023, 13:55 "
Luxembourg,"297,757",,"1,133",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371","Last updated: March 13, 2023, 13:55 "
Montenegro,"288,935",,"2,808",,"285,482",,645,6,"460,124","4,472","2,724,376","4,338,524","627,950","Last updated: March 13, 2023, 13:55 "
Brunei,"279,661",,225,,"243,601",,"35,835",3,"627,844",505,"717,784","1,611,437","445,431","Last updated: March 13, 2023, 13:55 "
Algeria,"271,522",,"6,881",,"182,825",,"81,816",,"5,987",152,"230,861","5,091","45,350,148","Last updated: March 13, 2023, 13:55 "
Nigeria,"266,598",,"3,155",,"259,917",,"3,526",11,"1,230",15,"5,708,974","26,339","216,746,934","Last updated: March 13, 2023, 13:55 "
Zimbabwe,"264,276",,"5,671",,"258,184",,421,12,"17,238",370,"2,525,756","164,744","15,331,428","Last updated: March 13, 2023, 13:55 "
Uzbekistan,"251,247",,"1,637",,"241,486",,"8,124",23,"7,307",48,"1,377,915","40,077","34,382,084","Last updated: March 13, 2023, 13:55 "
Mozambique,"233,214",,"2,242",,"228,805",,"2,167",11,"7,048",68,"1,371,127","41,437","33,089,461","Last updated: March 13, 2023, 13:55 "
Martinique,"229,807",,"1,098",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087","Last updated: March 13, 2023, 13:55 "
Laos,"218,023",,758,,N/A,N/A,N/A,,"29,143",101,"1,233,207","164,845","7,481,023","Last updated: March 13, 2023, 13:55 "
