"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
North America,"124,703,471",,"1,612,428",,"119,940,079","+1,529","3,150,964","7,727",,,,,,"Last updated: March 03, 2023, 13:56 "
Asia,"214,436,011","+35,345","1,537,111",+157,"199,053,303","+27,707","13,845,597","15,465",,,,,,"Last updated: March 03, 2023, 13:56 "
Europe,"246,453,699","+24,534","2,018,101",+72,"242,003,716","+37,789","2,431,882","6,489",,,,,,"Last updated: March 03, 2023, 13:56 "
South America,"68,030,238",+171,"1,350,839",+30,"66,285,011",+160,"394,388","10,186",,,,,,"Last updated: March 03, 2023, 13:56 "
Oceania,"14,015,803","+2,739","26,203",+12,"13,852,339","+2,537","137,261",55,,,,,,"Last updated: March 03, 2023, 13:56 "
Africa,"12,795,801",,"258,590",,"12,076,247",,"460,964",548,,,,,,"Last updated: March 03, 2023, 13:56 "
,721,,15,,706,,0,0,,,,,,"Last updated: March 03, 2023, 13:56 "
World,"680,435,744","+62,789","6,803,287",+271,"653,211,401","+69,722","20,421,056","40,470","87,294",872.8,,,,"Last updated: March 03, 2023, 13:56 "
USA,"105,384,017",,"1,146,630",,"102,790,152",,"1,447,235","2,561","314,762","3,425","1,167,463,368","3,486,992","334,805,269","Last updated: March 03, 2023, 13:56 "
India,"44,687,162",,"530,772",,"44,153,865",,"2,525",N/A,"31,769",377,"918,891,634","653,257","1,406,631,776","Last updated: March 03, 2023, 13:56 "
France,"39,630,952",,"165,009",,"39,394,118",,"71,825",869,"604,273","2,516","271,490,188","4,139,547","65,584,518","Last updated: March 03, 2023, 13:56 "
Germany,"38,202,571",,"168,296",,"37,742,800","+13,200","291,475",N/A,"455,424","2,006","122,332,384","1,458,359","83,883,596","Last updated: March 03, 2023, 13:56 "
Brazil,"37,066,791",,"699,230",,"36,241,001",,"126,560",N/A,"172,121","3,247","63,776,166","296,146","215,353,593","Last updated: March 03, 2023, 13:56 "
Japan,"33,241,066","+10,522","72,640",+67,"21,689,308","+1,538","11,479,118",130,"264,690",578,"95,481,075","760,291","125,584,838","Last updated: March 03, 2023, 13:56 "
S. Korea,"30,543,981","+10,408","34,014",+11,"30,321,370","+5,159","188,597",135,"595,052",663,"15,804,065","307,892","51,329,899","Last updated: March 03, 2023, 13:56 "
Italy,"25,576,852",,"188,094",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770","Last updated: March 03, 2023, 13:56 "
UK,"24,341,615",,"206,246",,"24,097,479","+2,944","37,890",N/A,"355,363","3,011","522,526,476","7,628,357","68,497,907","Last updated: March 03, 2023, 13:56 "
Russia,"22,314,520","+14,516","396,216",+40,"21,656,858","+11,512","261,446",N/A,"153,043","2,717","273,400,000","1,875,095","145,805,947","Last updated: March 03, 2023, 13:56 "
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976","Last updated: March 03, 2023, 13:56 "
Spain,"13,763,336",,"119,380",,"13,607,068",,"36,888",231,"294,597","2,555","471,036,328","10,082,298","46,719,142","Last updated: March 03, 2023, 13:56 "
Vietnam,"11,526,950",+13,"43,186",,"10,614,788",+5,"868,976",5,"116,489",436,"85,826,548","867,342","98,953,541","Last updated: March 03, 2023, 13:56 "
Australia,"11,385,534","+2,739","19,459",+12,"11,332,576","+2,537","33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792","Last updated: March 03, 2023, 13:56 "
Taiwan,"10,083,351","+13,813","18,072",+62,"9,773,889","+18,256","291,390",,"422,099",757,"30,742,304","1,286,903","23,888,595","Last updated: March 03, 2023, 13:56 "
Argentina,"10,044,125",,"130,463",,"9,909,866",,"3,796",363,"218,302","2,836","35,716,069","776,264","46,010,234","Last updated: March 03, 2023, 13:56 "
Netherlands,"8,596,296",,"22,992",,"8,559,508",+506,"13,796",53,"499,452","1,336","25,984,435","1,509,718","17,211,447","Last updated: March 03, 2023, 13:56 "
Iran,"7,569,261",,"144,864",,"7,339,518",,"84,879",312,"87,991","1,684","55,034,937","639,771","86,022,837","Last updated: March 03, 2023, 13:56 "
Mexico,"7,459,860",,"333,038",,"6,696,871",,"429,951",N/A,"56,702","2,531","19,572,325","148,768","131,562,772","Last updated: March 03, 2023, 13:56 "
Indonesia,"6,736,787",+211,"160,925",+5,"6,572,332",+234,"3,530",N/A,"24,135",577,"114,158,919","408,975","279,134,505","Last updated: March 03, 2023, 13:56 "
Poland,"6,428,783","+3,291","118,941",+17,"5,335,940",,"973,902",696,"170,345","3,152","38,297,715","1,014,784","37,739,785","Last updated: March 03, 2023, 13:56 "
Colombia,"6,360,089",,"142,629",,"6,183,658",,"33,802",342,"123,466","2,769","36,951,507","717,327","51,512,762","Last updated: March 03, 2023, 13:56 "
Austria,"5,931,247","+4,938","21,907",+1,"5,848,610","+2,776","60,730",81,"654,179","2,416","211,273,524","23,302,116","9,066,710","Last updated: March 03, 2023, 13:56 "
Greece,"5,871,458",,"36,185",,"5,809,088","+2,510","26,185",115,"569,125","3,507","102,228,365","9,909,078","10,316,637","Last updated: March 03, 2023, 13:56 "
Portugal,"5,568,084",,"26,180",,"5,538,074",+347,"3,830",61,"549,090","2,582","45,980,330","4,534,294","10,140,570","Last updated: March 03, 2023, 13:56 "
Ukraine,"5,389,439",,"111,235",,"5,265,577",,"12,627",,"124,778","2,575","32,603,805","754,855","43,192,122","Last updated: March 03, 2023, 13:56 "
Chile,"5,172,090",,"64,197",,"5,101,501",,"6,392",82,"268,677","3,335","48,470,891","2,517,943","19,250,195","Last updated: March 03, 2023, 13:56 "
Malaysia,"5,043,252",,"36,965",,"4,996,818",,"9,469",7,"151,992","1,114","68,217,426","2,055,914","33,181,072","Last updated: March 03, 2023, 13:56 "
Israel,"4,800,397",,"12,303",,"4,781,252",,"6,842",57,"514,733","1,319","41,373,364","4,436,346","9,326,000","Last updated: March 03, 2023, 13:56 "
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679","Last updated: March 03, 2023, 13:56 "
Thailand,"4,728,035",,"33,911",,"4,692,636",,"1,488",N/A,"67,468",484,"17,270,775","246,450","70,078,203","Last updated: March 03, 2023, 13:56 "
Belgium,"4,727,795",,"33,775",,"4,661,128","+1,115","32,892",43,"405,184","2,895","36,752,058","3,149,741","11,668,278","Last updated: March 03, 2023, 13:56 "
Czechia,"4,612,903",+910,"42,457",+5,"4,560,289","+1,800","10,157",47,"429,635","3,954","57,013,317","5,310,093","10,736,784","Last updated: March 03, 2023, 13:56 "
Canada,"4,591,149",,"51,249",,"4,503,595","+1,529","36,305",99,"119,597","1,335","66,343,123","1,728,207","38,388,419","Last updated: March 03, 2023, 13:56 "
