"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
Mauritius,"41,769",,"1,043",,"40,052",,674,,"32,767",818,"358,675","281,374","1,274,727","Last updated: March 15, 2023, 01:08 "
Togo,"39,404",,290,,"39,081",,33,,"4,539",33,"808,904","93,183","8,680,837","Last updated: March 15, 2023, 01:08 "
Guinea,"38,267",,467,,"37,757",,43,8,"2,760",34,"660,107","47,607","13,865,691","Last updated: March 15, 2023, 01:08 "
Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732","Last updated: March 15, 2023, 01:08 "
Bahamas,"37,491",,833,,"36,366",,292,1,"93,607","2,080","257,839","643,767","400,516","Last updated: March 15, 2023, 01:08 "
Lesotho,"34,790",,723,,"25,980",,"8,087",,"15,990",332,"431,221","198,199","2,175,699","Last updated: March 15, 2023, 01:08 "
Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233","Last updated: March 15, 2023, 01:08 "
Haiti,"34,202",,860,,"33,052",,290,,"2,928",74,"132,422","11,337","11,680,283","Last updated: March 15, 2023, 01:08 "
Mali,"33,068",+1,743,,"32,224",,101,,"1,540",35,"798,237","37,173","21,473,764","Last updated: March 15, 2023, 01:08 "
Cayman Islands,"31,472",,37,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280","67,277","Last updated: March 15, 2023, 01:08 "
Saint Lucia,"30,004",,409,,"29,095",,500,,"162,085","2,209","210,983","1,139,752","185,113","Last updated: March 15, 2023, 01:08 "
Benin,"27,999",,163,,"27,830",,6,,"2,190",13,"604,310","47,268","12,784,726","Last updated: March 15, 2023, 01:08 "
Somalia,"27,324",,"1,361",,"13,182",,"12,781",,"1,622",81,"400,466","23,778","16,841,795","Last updated: March 15, 2023, 01:08 "
