"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
North America,"125,051,039","+4,553","1,615,704",+14,"120,528,204","+3,105","2,907,131","7,323",,,,,,"Last updated: March 15, 2023, 13:54 "
Asia,"214,819,047","+32,580","1,538,868",+129,"199,427,712","+25,617","13,852,467","15,567",,,,,,"Last updated: March 15, 2023, 13:54 "
Europe,"247,023,846","+18,361","2,023,023",+73,"242,664,490","+37,601","2,336,333","6,457",,,,,,"Last updated: March 15, 2023, 13:54 "
South America,"68,091,121",,"1,351,202",,"66,336,256",+529,"403,663","10,188",,,,,,"Last updated: March 15, 2023, 13:54 "
Oceania,"14,039,075",+14,"26,243",,"13,873,179",+9,"139,653",55,,,,,,"Last updated: March 15, 2023, 13:54 "
Africa,"12,802,223",,"258,615",,"12,078,307",,"465,301",548,,,,,,"Last updated: March 15, 2023, 13:54 "
,721,,15,,706,,0,0,,,,,,"Last updated: March 15, 2023, 13:54 "
World,"681,827,072","+55,508","6,813,670",+216,"654,908,854","+66,861","20,104,548","40,138","87,472",874.1,,,,"Last updated: March 15, 2023, 13:54 "
USA,"105,665,981",,"1,149,253",,"103,319,965",,"1,196,763","2,157","315,604","3,433","1,169,267,631","3,492,381","334,805,269","Last updated: March 15, 2023, 13:54 "
India,"44,691,956",,"530,789",,"44,156,970",,"4,197",N/A,"31,772",377,"919,816,389","653,914","1,406,631,776","Last updated: March 15, 2023, 13:54 "
France,"39,667,102",,"165,240",,"39,435,308",,"66,554",869,"604,824","2,519","271,490,188","4,139,547","65,584,518","Last updated: March 15, 2023, 13:54 "
Germany,"38,276,190",,"169,345",,"37,906,300",,"200,545",N/A,"456,301","2,019","122,332,384","1,458,359","83,883,596","Last updated: March 15, 2023, 13:54 "
Brazil,"37,085,520",,"699,310",,"36,249,161",,"137,049",N/A,"172,208","3,247","63,776,166","296,146","215,353,593","Last updated: March 15, 2023, 13:54 "
Japan,"33,346,529","+9,552","73,334",+61,"21,704,743",+542,"11,568,452",119,"265,530",584,"96,459,844","768,085","125,584,838","Last updated: March 15, 2023, 13:54 "
S. Korea,"30,662,229","+11,899","34,131",+10,"30,455,545","+9,907","172,553",147,"597,356",665,"15,804,065","307,892","51,329,899","Last updated: March 15, 2023, 13:54 "
