"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
North America,"124,656,697",,"1,611,890",,"119,889,083","+1,530","3,155,724","7,681",,,,,,"Last updated: March 02, 2023, 13:58 "
Asia,"214,390,543","+34,510","1,536,934",+157,"199,025,375","+36,599","13,828,234","15,474",,,,,,"Last updated: March 02, 2023, 13:58 "
Europe,"246,400,017","+25,274","2,017,764",+73,"241,960,939","+39,986","2,421,314","6,485",,,,,,"Last updated: March 02, 2023, 13:58 "
South America,"68,023,599",+248,"1,350,756",+9,"66,282,690",+319,"390,153","10,190",,,,,,"Last updated: March 02, 2023, 13:58 "
Oceania,"13,996,622",,"26,117",,"13,834,567",+1,"135,938",64,,,,,,"Last updated: March 02, 2023, 13:58 "
Africa,"12,795,069",,"258,590",,"12,076,113",,"460,366",548,,,,,,"Last updated: March 02, 2023, 13:58 "
,721,,15,,706,,0,0,,,,,,"Last updated: March 02, 2023, 13:58 "
World,"680,263,268","+60,032","6,802,066",+239,"653,069,473","+78,433","20,391,729","40,442","87,271",872.6,,,,"Last updated: March 02, 2023, 13:58 "
USA,"105,345,992",,"1,146,142",,"102,747,004",,"1,452,846","2,515","314,649","3,423","1,167,210,022","3,486,236","334,805,269","Last updated: March 02, 2023, 13:58 "
India,"44,686,879",,"530,772",,"44,153,668",,"2,439",N/A,"31,769",377,"918,794,368","653,188","1,406,631,776","Last updated: March 02, 2023, 13:58 "
France,"39,626,756",,"164,988",,"39,390,773",,"70,995",869,"604,209","2,516","271,490,188","4,139,547","65,584,518","Last updated: March 02, 2023, 13:58 "
Germany,"38,189,954",,"168,175",,"37,729,600","+13,900","292,179",N/A,"455,273","2,005","122,332,384","1,458,359","83,883,596","Last updated: March 02, 2023, 13:58 "
Brazil,"37,063,464",,"699,197",,"36,241,001",,"123,266",N/A,"172,105","3,247","63,776,166","296,146","215,353,593","Last updated: March 02, 2023, 13:58 "
Japan,"33,230,544","+11,506","72,573",+87,"21,687,770","+2,053","11,470,201",141,"264,606",578,"95,386,077","759,535","125,584,838","Last updated: March 02, 2023, 13:58 "
S. Korea,"30,533,573","+7,561","34,003",+15,"30,316,211","+12,040","183,359",129,"594,850",662,"15,804,065","307,892","51,329,899","Last updated: March 02, 2023, 13:58 "
Italy,"25,576,852",,"188,094",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770","Last updated: March 02, 2023, 13:58 "
UK,"24,341,615",,"206,246",,"24,094,535","+3,210","40,834",N/A,"355,363","3,011","522,526,476","7,628,357","68,497,907","Last updated: March 02, 2023, 13:58 "
Russia,"22,300,004","+14,096","396,176",+39,"21,645,346","+13,937","258,482",N/A,"152,943","2,717","273,400,000","1,875,095","145,805,947","Last updated: March 02, 2023, 13:58 "
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976","Last updated: March 02, 2023, 13:58 "
Spain,"13,763,336",,"119,380",,"13,607,068",,"36,888",231,"294,597","2,555","471,036,328","10,082,298","46,719,142","Last updated: March 02, 2023, 13:58 "
Vietnam,"11,526,937",+11,"43,186",,"10,614,783",+6,"868,968",4,"116,488",436,"85,826,548","867,342","98,953,541","Last updated: March 02, 2023, 13:58 "
Australia,"11,366,361",,"19,373",,"11,314,814",,"32,174",36,"436,014",743,"78,835,048","3,024,116","26,068,792","Last updated: March 02, 2023, 13:58 "
Taiwan,"10,069,539","+14,103","18,010",+35,"9,755,633","+19,583","295,896",,"421,521",754,"30,742,304","1,286,903","23,888,595","Last updated: March 02, 2023, 13:58 "
Argentina,"10,044,125",,"130,463",,"9,909,866",,"3,796",363,"218,302","2,836","35,716,069","776,264","46,010,234","Last updated: March 02, 2023, 13:58 "
Netherlands,"8,596,296",,"22,992",,"8,559,002",+186,"14,302",53,"499,452","1,336","25,984,435","1,509,718","17,211,447","Last updated: March 02, 2023, 13:58 "
Iran,"7,569,261",+358,"144,864",+6,"7,339,518",+61,"84,879",312,"87,991","1,684","55,034,937","639,771","86,022,837","Last updated: March 02, 2023, 13:58 "
Mexico,"7,451,429",,"332,988",,"6,690,914",,"427,527",N/A,"56,638","2,531","19,572,325","148,768","131,562,772","Last updated: March 02, 2023, 13:58 "
Indonesia,"6,736,576",+278,"160,920",+4,"6,572,098",+253,"3,558",N/A,"24,134",576,"114,158,919","408,975","279,134,505","Last updated: March 02, 2023, 13:58 "
Poland,"6,425,500","+3,036","118,924",+26,"5,335,940",,"970,636",696,"170,258","3,151","38,288,150","1,014,530","37,739,785","Last updated: March 02, 2023, 13:58 "
Colombia,"6,360,089",,"142,629",,"6,183,658",,"33,802",342,"123,466","2,769","36,951,507","717,327","51,512,762","Last updated: March 02, 2023, 13:58 "
Austria,"5,926,148","+6,217","21,899",+2,"5,845,030","+3,252","59,219",81,"653,616","2,415","211,273,524","23,302,116","9,066,710","Last updated: March 02, 2023, 13:58 "
Greece,"5,871,458",,"36,185",,"5,806,578","+1,598","28,695",115,"569,125","3,507","102,228,365","9,909,078","10,316,637","Last updated: March 02, 2023, 13:58 "
Portugal,"5,568,084",,"26,180",,"5,537,727",,"4,177",61,"549,090","2,582","45,980,330","4,534,294","10,140,570","Last updated: March 02, 2023, 13:58 "
Ukraine,"5,389,439",,"111,235",,"5,265,637",,"12,567",,"124,778","2,575","32,603,805","754,855","43,192,122","Last updated: March 02, 2023, 13:58 "
Chile,"5,169,139",,"64,177",,"5,099,538",,"5,424",85,"268,524","3,334","48,454,162","2,517,074","19,250,195","Last updated: March 02, 2023, 13:58 "
Malaysia,"5,043,008",,"36,960",,"4,996,818",,"9,230",7,"151,984","1,114","68,198,303","2,055,338","33,181,072","Last updated: March 02, 2023, 13:58 "
Israel,"4,799,640",,"12,292",,"4,781,252",,"6,096",57,"514,652","1,318","41,373,364","4,436,346","9,326,000","Last updated: March 02, 2023, 13:58 "
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679","Last updated: March 02, 2023, 13:58 "
Thailand,"4,728,035",,"33,911",,"4,692,636",,"1,488",N/A,"67,468",484,"17,270,775","246,450","70,078,203","Last updated: March 02, 2023, 13:58 "
Belgium,"4,717,655",,"33,717",,"4,660,013",+558,"23,925",43,"404,315","2,890","36,709,556","3,146,099","11,668,278","Last updated: March 02, 2023, 13:58 "
Czechia,"4,611,985",+979,"42,446",+1,"4,558,503",+173,"11,036",36,"429,550","3,953","57,008,620","5,309,655","10,736,784","Last updated: March 02, 2023, 13:58 "
Canada,"4,591,149",,"51,249",,"4,502,066","+1,530","37,834",99,"119,597","1,335","66,343,123","1,728,207","38,388,419","Last updated: March 02, 2023, 13:58 "
Peru,"4,486,282",+248,"219,448",+9,"4,264,923",+325,"1,911",36,"133,187","6,515","38,053,752","1,129,721","33,684,208","Last updated: March 02, 2023, 13:58 "
Switzerland,"4,391,007",,"14,452",,"4,373,026","+1,777","3,529",39,"500,477","1,647","23,833,472","2,716,487","8,773,637","Last updated: March 02, 2023, 13:58 "
Philippines,"4,076,570",+166,"66,126",+8,"4,001,136",+66,"9,308",162,"36,233",588,"34,611,586","307,634","112,508,994","Last updated: March 02, 2023, 13:58 "
South Africa,"4,063,863",,"102,595",,"3,912,506",,"48,762",192,"66,888","1,689","26,795,090","441,027","60,756,135","Last updated: March 02, 2023, 13:58 "
Romania,"3,340,342",,"67,704",,"3,263,301",,"9,337",115,"175,518","3,558","26,676,248","1,401,701","19,031,335","Last updated: March 02, 2023, 13:58 "
Denmark,"3,175,332",+68,"8,272",+3,"3,166,156",+76,904,19,"544,192","1,418","129,198,860","22,142,239","5,834,950","Last updated: March 02, 2023, 13:58 "
Hong Kong,"2,883,528",+75,"13,460",,"2,851,147","+2,292","18,921",28,"379,197","1,770","76,127,725","10,011,143","7,604,299","Last updated: March 02, 2023, 13:58 "
Sweden,"2,698,535",,"23,703",,"2,671,071",+424,"3,761",8,"264,071","2,320","19,477,620","1,906,026","10,218,971","Last updated: March 02, 2023, 13:58 "
Serbia,"2,492,563",,"17,826",,"2,461,477",+573,"13,260",16,"288,057","2,060","12,396,861","1,432,664","8,653,016","Last updated: March 02, 2023, 13:58 "
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965","Last updated: March 02, 2023, 13:58 "
Singapore,"2,222,006",,"1,722",,"2,149,583",,"70,701",1,"373,852",290,"24,756,666","4,165,302","5,943,546","Last updated: March 02, 2023, 13:58 "
New Zealand,"2,216,852",,"3,904",,"2,205,354",,"7,594",,"452,585",797,"7,768,604","1,586,011","4,898,203","Last updated: March 02, 2023, 13:58 "
Hungary,"2,195,926",,"48,751",,"2,143,184",,"3,991",13,"228,593","5,075","11,394,556","1,186,160","9,606,259","Last updated: March 02, 2023, 13:58 "
Bangladesh,"2,037,829",,"29,445",,"1,998,448",,"9,936",N/A,"12,138",175,"15,254,399","90,862","167,885,689","Last updated: March 02, 2023, 13:58 "
Slovakia,"1,863,115",+93,"21,026",+2,"1,840,899",+90,"1,190",20,"341,218","3,851","7,404,376","1,356,065","5,460,193","Last updated: March 02, 2023, 13:58 "
Georgia,"1,825,598",,"16,965",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738","Last updated: March 02, 2023, 13:58 "
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869","Last updated: March 02, 2023, 13:58 "
Ireland,"1,703,850",,"8,691",,"1,692,126",,"3,033",13,"339,399","1,731","13,031,576","2,595,829","5,020,199","Last updated: March 02, 2023, 13:58 "
Pakistan,"1,577,031",+32,"30,643",,"1,538,689",,"7,699",12,"6,872",134,"30,570,862","133,213","229,488,994","Last updated: March 02, 2023, 13:58 "
Norway,"1,479,087",,"5,175",,"1,473,220",,692,20,"268,370",939,"11,002,430","1,996,315","5,511,370","Last updated: March 02, 2023, 13:58 "
Finland,"1,462,976",+2,"8,936",,"1,451,956",+92,"2,084",21,"263,364","1,609","12,047,792","2,168,835","5,554,960","Last updated: March 02, 2023, 13:58 "
Kazakhstan,"1,408,038",+96,"13,846",,"1,383,020",,"11,172",24,"73,316",721,"11,575,012","602,707","19,205,043","Last updated: March 02, 2023, 13:58 "
Slovenia,"1,329,079",+398,"7,071",,"1,317,563",,"4,445",6,"639,585","3,403","2,838,261","1,365,840","2,078,034","Last updated: March 02, 2023, 13:58 "
Lithuania,"1,305,543",+365,"9,589",,"1,290,063",+335,"5,891",6,"490,491","3,603","10,380,567","3,899,965","2,661,708","Last updated: March 02, 2023, 13:58 "
Bulgaria,"1,296,853",,"38,217",,"1,255,662",,"2,974",27,"189,471","5,584","11,055,587","1,615,228","6,844,597","Last updated: March 02, 2023, 13:58 "
Morocco,"1,272,459",,"16,296",,"1,256,097",,66,3,"33,687",431,"12,984,777","343,760","37,772,756","Last updated: March 02, 2023, 13:58 "
Croatia,"1,268,992",,"17,971",,"1,250,549",,472,10,"312,615","4,427","5,503,682","1,355,825","4,059,286","Last updated: March 02, 2023, 13:58 "
Guatemala,"1,236,778",,"20,176",,"1,215,452",,"1,150",5,"66,551","1,086","6,934,193","373,126","18,584,039","Last updated: March 02, 2023, 13:58 "
Lebanon,"1,232,063",,"10,832",,"1,087,587",,"133,644",74,"184,307","1,620","4,795,578","717,380","6,684,849","Last updated: March 02, 2023, 13:58 "
Costa Rica,"1,204,164",,"9,230",,"860,711",,"334,223",52,"232,358","1,781","4,659,757","899,158","5,182,354","Last updated: March 02, 2023, 13:58 "
