"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
North America,"124,569,678",,"1,611,127",,"119,789,347","+1,575","3,169,204","7,752",,,,,,"Last updated: February 28, 2023, 13:50 "
Asia,"214,311,296","+35,861","1,536,593",+132,"198,950,463","+41,321","13,824,240","15,509",,,,,,"Last updated: February 28, 2023, 13:50 "
Europe,"246,248,535","+22,583","2,016,831",+76,"241,858,283","+46,953","2,373,421","6,467",,,,,,"Last updated: February 28, 2023, 13:50 "
South America,"67,991,811",+68,"1,350,520",+23,"66,251,236",,"390,055","10,186",,,,,,"Last updated: February 28, 2023, 13:50 "
Oceania,"13,996,296",+5,"26,116",,"13,834,559",+1,"135,621",64,,,,,,"Last updated: February 28, 2023, 13:50 "
Africa,"12,793,691",+48,"258,581",,"12,075,082",+15,"460,028",547,,,,,,"Last updated: February 28, 2023, 13:50 "
,721,,15,,706,,0,0,,,,,,"Last updated: February 28, 2023, 13:50 "
World,"679,912,028","+58,565","6,799,783",+231,"652,759,676","+89,860","20,352,569","40,525","87,226",872.3,,,,"Last updated: February 28, 2023, 13:50 "
USA,"105,266,332",,"1,145,415",,"102,654,350",,"1,466,567","2,586","314,411","3,421","1,166,805,671","3,485,028","334,805,269","Last updated: February 28, 2023, 13:50 "
India,"44,686,371",,"530,771",,"44,153,343",,"2,257",N/A,"31,768",377,"918,679,922","653,106","1,406,631,776","Last updated: February 28, 2023, 13:50 "
France,"39,616,580",,"164,929",,"39,383,188",,"68,463",869,"604,054","2,515","271,490,188","4,139,547","65,584,518","Last updated: February 28, 2023, 13:50 "
Germany,"38,144,033",,"167,951",,"37,699,200","+19,800","276,882",N/A,"454,726","2,002","122,332,384","1,458,359","83,883,596","Last updated: February 28, 2023, 13:50 "
Brazil,"37,038,230",,"699,006",,"36,216,411",,"122,813",N/A,"171,988","3,246","63,776,166","296,146","215,353,593","Last updated: February 28, 2023, 13:50 "
Japan,"33,205,088","+14,524","72,387",+67,"21,684,955","+1,051","11,447,746",166,"264,404",576,"95,119,322","757,411","125,584,838","Last updated: February 28, 2023, 13:50 "
S. Korea,"30,513,721","+10,817","33,977",+16,"30,291,522","+13,489","188,222",164,"594,463",662,"15,804,065","307,892","51,329,899","Last updated: February 28, 2023, 13:50 "
Italy,"25,576,852",,"188,094",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770","Last updated: February 28, 2023, 13:50 "
UK,"24,341,615",,"206,246",,"24,087,869","+3,539","47,500",N/A,"355,363","3,011","522,526,476","7,628,357","68,497,907","Last updated: February 28, 2023, 13:50 "
Russia,"22,272,470","+9,753","396,100",+35,"21,614,852","+14,365","261,518",N/A,"152,754","2,717","273,400,000","1,875,095","145,805,947","Last updated: February 28, 2023, 13:50 "
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976","Last updated: February 28, 2023, 13:50 "
Spain,"13,763,336",,"119,380",,"13,607,068",,"36,888",231,"294,597","2,555","471,036,328","10,082,298","46,719,142","Last updated: February 28, 2023, 13:50 "
Vietnam,"11,526,917",+12,"43,186",,"10,614,769",+6,"868,962",5,"116,488",436,"85,826,548","867,342","98,953,541","Last updated: February 28, 2023, 13:50 "
Australia,"11,366,361",,"19,373",,"11,314,814",,"32,174",36,"436,014",743,"78,835,048","3,024,116","26,068,792","Last updated: February 28, 2023, 13:50 "
Argentina,"10,044,125",,"130,463",,"9,909,866",,"3,796",363,"218,302","2,836","35,716,069","776,264","46,010,234","Last updated: February 28, 2023, 13:50 "
Taiwan,"10,043,227","+10,120","17,948",+40,"9,715,178","+24,188","310,101",,"420,419",751,"30,742,304","1,286,903","23,888,595","Last updated: February 28, 2023, 13:50 "
Netherlands,"8,594,150",,"22,992",,"8,558,606",,"12,552",53,"499,328","1,336","25,984,435","1,509,718","17,211,447","Last updated: February 28, 2023, 13:50 "
Iran,"7,567,906",+82,"144,845",,"7,339,365",+82,"83,696",288,"87,976","1,684","55,034,937","639,771","86,022,837","Last updated: February 28, 2023, 13:50 "
Mexico,"7,450,992",,"332,986",,"6,687,704",,"430,302",N/A,"56,635","2,531","19,571,192","148,759","131,562,772","Last updated: February 28, 2023, 13:50 "
Indonesia,"6,735,780",,"160,911",,"6,571,457",,"3,412",N/A,"24,131",576,"114,158,919","408,975","279,134,505","Last updated: February 28, 2023, 13:50 "
Poland,"6,419,480","+3,772","118,884",+16,"5,335,940",,"964,656",696,"170,098","3,150","38,270,606","1,014,065","37,739,785","Last updated: February 28, 2023, 13:50 "
Colombia,"6,359,464",,"142,615",,"6,182,304",,"34,545",342,"123,454","2,769","36,951,507","717,327","51,512,762","Last updated: February 28, 2023, 13:50 "
Austria,"5,911,294","+5,700","21,887",,"5,835,484","+4,332","53,923",72,"651,978","2,414","211,273,524","23,302,116","9,066,710","Last updated: February 28, 2023, 13:50 "
Greece,"5,849,949",,"36,077",,"5,803,381","+1,598","10,491",115,"567,040","3,497","102,228,365","9,909,078","10,316,637","Last updated: February 28, 2023, 13:50 "
Portugal,"5,566,708",,"26,117",,"5,537,790",+642,"2,801",61,"548,954","2,575","45,980,330","4,534,294","10,140,570","Last updated: February 28, 2023, 13:50 "
Ukraine,"5,382,095",,"111,175",,"5,261,929",,"8,991",,"124,608","2,574","32,603,805","754,855","43,192,122","Last updated: February 28, 2023, 13:50 "
Chile,"5,164,922",,"64,176",,"5,095,408",,"5,338",79,"268,305","3,334","48,430,725","2,515,856","19,250,195","Last updated: February 28, 2023, 13:50 "
Malaysia,"5,042,585",,"36,957",,"4,996,409",,"9,219",6,"151,972","1,114","68,079,467","2,051,756","33,181,072","Last updated: February 28, 2023, 13:50 "
Israel,"4,798,654",,"12,284",,"4,781,252",,"5,118",57,"514,546","1,317","41,373,364","4,436,346","9,326,000","Last updated: February 28, 2023, 13:50 "
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679","Last updated: February 28, 2023, 13:50 "
Thailand,"4,728,035",,"33,911",,"4,692,636",,"1,488",N/A,"67,468",484,"17,270,775","246,450","70,078,203","Last updated: February 28, 2023, 13:50 "
Belgium,"4,717,655",,"33,717",,"4,658,897",+557,"25,041",43,"404,315","2,890","36,709,556","3,146,099","11,668,278","Last updated: February 28, 2023, 13:50 "
Czechia,"4,609,820","+1,678","42,436",+2,"4,558,089",+884,"9,295",38,"429,348","3,952","56,998,352","5,308,699","10,736,784","Last updated: February 28, 2023, 13:50 "
Canada,"4,591,149",,"51,249",,"4,499,195","+1,575","40,705",99,"119,597","1,335","66,343,123","1,728,207","38,388,419","Last updated: February 28, 2023, 13:50 "
Peru,"4,485,684",+68,"219,429",+23,"4,264,334",,"1,921",38,"133,169","6,514","38,024,834","1,128,862","33,684,208","Last updated: February 28, 2023, 13:50 "
Switzerland,"4,389,655",,"14,452",,"4,371,249",,"3,954",39,"500,323","1,647","23,833,472","2,716,487","8,773,637","Last updated: February 28, 2023, 13:50 "
Philippines,"4,076,307",+77,"66,111",+3,"4,000,971",+134,"9,225",162,"36,231",588,"34,593,073","307,469","112,508,994","Last updated: February 28, 2023, 13:50 "
South Africa,"4,063,237",,"102,595",,"3,912,506",,"48,136",192,"66,878","1,689","26,795,090","441,027","60,756,135","Last updated: February 28, 2023, 13:50 "
Romania,"3,340,342",,"67,704",,"3,260,101",,"12,537",115,"175,518","3,558","26,676,248","1,401,701","19,031,335","Last updated: February 28, 2023, 13:50 "
Denmark,"3,175,195",+66,"8,265",+10,"3,166,012",+90,918,19,"544,168","1,416","129,195,966","22,141,743","5,834,950","Last updated: February 28, 2023, 13:50 "
Hong Kong,"2,883,346",+96,"13,457",+6,"2,846,874","+2,271","23,015",28,"379,173","1,770","76,127,725","10,011,143","7,604,299","Last updated: February 28, 2023, 13:50 "
Sweden,"2,697,827",,"23,633",,"2,670,577",+140,"3,617",9,"264,002","2,313","19,469,139","1,905,196","10,218,971","Last updated: February 28, 2023, 13:50 "
Serbia,"2,491,704",,"17,821",,"2,460,149",,"13,734",16,"287,958","2,060","12,387,136","1,431,540","8,653,016","Last updated: February 28, 2023, 13:50 "
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965","Last updated: February 28, 2023, 13:50 "
Singapore,"2,222,006",,"1,722",,"2,149,583",,"70,701",1,"373,852",290,"24,756,666","4,165,302","5,943,546","Last updated: February 28, 2023, 13:50 "
New Zealand,"2,216,852",,"3,904",,"2,205,354",,"7,594",,"452,585",797,"7,768,604","1,586,011","4,898,203","Last updated: February 28, 2023, 13:50 "
Hungary,"2,194,969",,"48,745",,"2,142,682",,"3,542",6,"228,494","5,074","11,394,556","1,186,160","9,606,259","Last updated: February 28, 2023, 13:50 "
Bangladesh,"2,037,773",,"29,445",,"1,998,448",,"9,880",N/A,"12,138",175,"15,254,399","90,862","167,885,689","Last updated: February 28, 2023, 13:50 "
Slovakia,"1,862,889",+110,"21,021",+4,"1,840,687",+105,"1,181",20,"341,176","3,850","7,402,963","1,355,806","5,460,193","Last updated: February 28, 2023, 13:50 "
Georgia,"1,825,598",,"16,965",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738","Last updated: February 28, 2023, 13:50 "
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869","Last updated: February 28, 2023, 13:50 "
Ireland,"1,702,523",,"8,629",,"1,692,179",+115,"1,715",11,"339,135","1,719","13,024,205","2,594,360","5,020,199","Last updated: February 28, 2023, 13:50 "
Pakistan,"1,576,962",+23,"30,643",,"1,538,689",,"7,630",13,"6,872",134,"30,570,862","133,213","229,488,994","Last updated: February 28, 2023, 13:50 "
Norway,"1,478,979",,"5,112",,"1,473,203",,664,20,"268,351",928,"11,002,430","1,996,315","5,511,370","Last updated: February 28, 2023, 13:50 "
Finland,"1,462,169",,"8,892",,"1,451,778",+76,"1,499",21,"263,219","1,601","12,047,792","2,168,835","5,554,960","Last updated: February 28, 2023, 13:50 "
Kazakhstan,"1,407,823",,"13,846",,"1,383,020",,"10,957",24,"73,305",721,"11,575,012","602,707","19,205,043","Last updated: February 28, 2023, 13:50 "
Slovenia,"1,328,222",+585,"7,071",,"1,317,265",+379,"3,886",6,"639,172","3,403","2,837,248","1,365,352","2,078,034","Last updated: February 28, 2023, 13:50 "
Lithuania,"1,304,750",+618,"9,587",+1,"1,289,339",+383,"5,824",5,"490,193","3,602","10,376,092","3,898,283","2,661,708","Last updated: February 28, 2023, 13:50 "
Bulgaria,"1,296,773",,"38,216",,"1,255,613",,"2,944",25,"189,459","5,583","11,052,747","1,614,813","6,844,597","Last updated: February 28, 2023, 13:50 "
Morocco,"1,272,446",,"16,296",,"1,256,083",,67,3,"33,687",431,"12,982,046","343,688","37,772,756","Last updated: February 28, 2023, 13:50 "
Croatia,"1,268,992",,"17,971",,"1,250,549",,472,10,"312,615","4,427","5,503,682","1,355,825","4,059,286","Last updated: February 28, 2023, 13:50 "
Guatemala,"1,235,996",,"20,169",,"1,214,657",,"1,170",5,"66,508","1,085","6,917,051","372,204","18,584,039","Last updated: February 28, 2023, 13:50 "
Lebanon,"1,231,840",,"10,828",,"1,087,587",,"133,425",74,"184,273","1,620","4,795,578","717,380","6,684,849","Last updated: February 28, 2023, 13:50 "
Costa Rica,"1,199,055",,"9,214",,"860,711",,"329,130",52,"231,373","1,778","4,659,757","899,158","5,182,354","Last updated: February 28, 2023, 13:50 "
Bolivia,"1,192,933",,"22,365",,"1,157,318",,"13,250",220,"99,472","1,865","2,705,422","225,590","11,992,656","Last updated: February 28, 2023, 13:50 "
Tunisia,"1,150,793",,"29,330",,N/A,N/A,N/A,44,"95,528","2,435","5,001,397","415,169","12,046,656","Last updated: February 28, 2023, 13:50 "
Cuba,"1,112,593",,"8,530",,"1,103,971",,92,2,"98,410",754,"14,317,196","1,266,375","11,305,652","Last updated: February 28, 2023, 13:50 "
Ecuador,"1,056,578",,"36,008",,"1,020,570",,0,759,"58,331","1,988","3,082,403","170,173","18,113,361","Last updated: February 28, 2023, 13:50 "
UAE,"1,051,930",,"2,349",,"1,035,074",,"14,507",,"104,340",233,"199,206,191","19,759,020","10,081,785","Last updated: February 28, 2023, 13:50 "
Uruguay,"1,034,303",,"7,617",,"1,026,186",,500,18,"295,852","2,179","6,114,822","1,749,083","3,496,016","Last updated: February 28, 2023, 13:50 "
Panama,"1,031,273",,"8,604",,"1,022,299",,370,16,"231,905","1,935","7,532,271","1,693,801","4,446,964","Last updated: February 28, 2023, 13:50 "
Mongolia,"1,007,896",,"2,179",,"1,005,711",+2,6,192,"298,364",645,"4,030,048","1,193,000","3,378,078","Last updated: February 28, 2023, 13:50 "
Nepal,"1,001,145",+2,"12,020",,"989,117",+2,8,,"33,122",398,"6,013,280","198,947","30,225,582","Last updated: February 28, 2023, 13:50 "
