"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
North America,"124,908,631","+3,809","1,614,587",+18,"120,268,256","+3,764","3,025,788","7,555",,,,,,"Last updated: March 10, 2023, 13:48 "
Asia,"214,668,984","+29,348","1,538,211",+132,"199,279,610","+21,160","13,851,163","15,553",,,,,,"Last updated: March 10, 2023, 13:48 "
Europe,"246,823,583","+20,484","2,021,632",+59,"242,388,923","+46,513","2,413,028","6,488",,,,,,"Last updated: March 10, 2023, 13:48 "
South America,"68,072,879",,"1,351,083",,"66,316,323",+110,"405,473","10,182",,,,,,"Last updated: March 10, 2023, 13:48 "
Oceania,"14,027,545",,"26,221",,"13,861,740",,"139,584",55,,,,,,"Last updated: March 10, 2023, 13:48 "
Africa,"12,799,627",,"258,610",,"12,077,257",,"463,760",548,,,,,,"Last updated: March 10, 2023, 13:48 "
,721,,15,,706,,0,0,,,,,,"Last updated: March 10, 2023, 13:48 "
World,"681,301,970","+53,641","6,810,359",+209,"654,192,815","+71,547","20,298,796","40,381","87,405",873.7,,,,"Last updated: March 10, 2023, 13:48 "
USA,"105,547,760",,"1,148,391",,"103,083,830",,"1,315,539","2,389","315,251","3,430","1,168,472,344","3,490,006","334,805,269","Last updated: March 10, 2023, 13:48 "
India,"44,689,512",,"530,779",,"44,155,439",,"3,294",N/A,"31,771",377,"919,414,382","653,628","1,406,631,776","Last updated: March 10, 2023, 13:48 "
France,"39,639,112",,"165,073",,"39,416,984","+3,589","57,055",869,"604,397","2,517","271,490,188","4,139,547","65,584,518","Last updated: March 10, 2023, 13:48 "
Germany,"38,249,060",,"168,935",,"37,839,100","+15,900","241,025",N/A,"455,978","2,014","122,332,384","1,458,359","83,883,596","Last updated: March 10, 2023, 13:48 "
Brazil,"37,085,520",,"699,310",,"36,249,161",,"137,049",N/A,"172,208","3,247","63,776,166","296,146","215,353,593","Last updated: March 10, 2023, 13:48 "
Japan,"33,307,409","+9,113","73,038",+49,"21,699,006","+1,263","11,535,365",116,"265,218",582,"96,082,498","765,080","125,584,838","Last updated: March 10, 2023, 13:48 "
S. Korea,"30,615,522","+10,335","34,093",+12,"30,399,814","+4,304","181,615",146,"596,446",664,"15,804,065","307,892","51,329,899","Last updated: March 10, 2023, 13:48 "
