"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
North America,"124,971,019","7,744","1,615,023",47,"120,321,695","6,275","3,034,301","7,531",,,,,,"Last updated: March 12, 2023, 14:01 "
Asia,"214,720,096","16,713","1,538,517",95,"199,340,990","26,414","13,840,589","15,558",,,,,,"Last updated: March 12, 2023, 14:01 "
Europe,"246,917,861","16,090","2,022,346",45,"242,495,722","27,188","2,399,793","6,448",,,,,,"Last updated: March 12, 2023, 14:01 "
South America,"68,081,044",,"1,351,137",,"66,322,364",311,"407,543","10,183",,,,,,"Last updated: March 12, 2023, 14:01 "
Oceania,"14,027,548",,"26,221",,"13,861,749",,"139,578",55,,,,,,"Last updated: March 12, 2023, 14:01 "
Africa,"12,800,123",,"258,610",,"12,077,327",,"464,186",548,,,,,,"Last updated: March 12, 2023, 14:01 "
,721,,15,,706,,0,0,,,,,,"Last updated: March 12, 2023, 14:01 "
World,"681,518,412","40,547","6,811,869",187,"654,420,553","60,188","20,285,990","40,323","87,432",873.9,,,,"Last updated: March 12, 2023, 14:01 "
USA,"105,601,470",,"1,148,780",,"103,128,641",,"1,324,049","2,365","315,412","3,431","1,168,651,678","3,490,541","334,805,269","Last updated: March 12, 2023, 14:01 "
India,"44,690,492",,"530,781",,"44,156,093",,"3,618",N/A,"31,771",377,"919,575,760","653,743","1,406,631,776","Last updated: March 12, 2023, 14:01 "
France,"39,651,372",,"165,163",,"39,424,129",,"62,080",869,"604,584","2,518","271,490,188","4,139,547","65,584,518","Last updated: March 12, 2023, 14:01 "
Germany,"38,256,003",,"169,057",,"37,846,700","3,000","240,246",N/A,"456,061","2,015","122,332,384","1,458,359","83,883,596","Last updated: March 12, 2023, 14:01 "
Brazil,"37,085,520",,"699,310",,"36,249,161",,"137,049",N/A,"172,208","3,247","63,776,166","296,146","215,353,593","Last updated: March 12, 2023, 14:01 "
Japan,"33,323,522","7,013","73,199",43,"21,702,526",947,"11,547,797",107,"265,347",583,"96,226,546","766,227","125,584,838","Last updated: March 12, 2023, 14:01 "
S. Korea,"30,625,389","4,198","34,115",12,"30,435,599",,"169,215",142,"596,902",665,"15,804,065","307,892","51,329,899","Last updated: March 13, 2023, 01:16 "
Italy,"25,627,473",,"188,538",,"25,294,864",,"144,071",104,"425,262","3,129","268,674,307","4,458,380","60,262,770","Last updated: March 12, 2023, 14:01 "
UK,"24,396,534",,"207,695",,"24,125,125","3,169","63,714",N/A,"356,165","3,032","522,526,476","7,628,357","68,497,907","Last updated: March 12, 2023, 14:01 "
Russia,"22,423,093","11,985","396,586",37,"21,770,130","11,218","256,377",N/A,"153,787","2,720","273,400,000","1,875,095","145,805,947","Last updated: March 12, 2023, 14:01 "
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976","Last updated: March 12, 2023, 14:01 "
Spain,"13,778,467",,"119,618",,"13,624,507",,"34,342",231,"294,921","2,560","471,036,328","10,082,298","46,719,142","Last updated: March 12, 2023, 14:01 "
Vietnam,"11,527,037",4,"43,186",,"10,614,818",1,"869,033",2,"116,489",436,"85,826,548","867,342","98,953,541","Last updated: March 12, 2023, 14:01 "
Australia,"11,385,534",,"19,459",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792","Last updated: March 12, 2023, 14:01 "
Taiwan,"10,170,589","9,093","18,512",39,"9,918,730","11,999","233,347",,"425,751",775,"30,742,304","1,286,903","23,888,595","Last updated: March 12, 2023, 14:01 "
Argentina,"10,044,957",,"130,472",,"9,911,664",,"2,821",363,"218,320","2,836","35,716,069","776,264","46,010,234","Last updated: March 12, 2023, 14:01 "
Netherlands,"8,602,266",,"22,992",,"8,562,984",544,"16,290",53,"499,799","1,336","25,984,435","1,509,718","17,211,447","Last updated: March 12, 2023, 14:01 "
Iran,"7,573,328",,"144,956",,"7,340,279",,"88,093",407,"88,039","1,685","55,353,767","643,478","86,022,837","Last updated: March 12, 2023, 14:01 "
Mexico,"7,491,188","7,744","333,235",47,"6,723,772","4,833","434,181",N/A,"56,940","2,533","19,642,771","149,303","131,562,772","Last updated: March 12, 2023, 14:01 "
Indonesia,"6,739,067",223,"160,948",3,"6,574,788",214,"3,331",N/A,"24,143",577,"114,158,919","408,975","279,134,505","Last updated: March 12, 2023, 14:01 "
Poland,"6,452,686",479,"119,030",,"5,335,940",,"997,716",696,"170,978","3,154","38,369,088","1,016,675","37,739,785","Last updated: March 12, 2023, 14:01 "
Colombia,"6,360,780",,"142,639",,"6,184,346",,"33,795",342,"123,480","2,769","36,951,507","717,327","51,512,762","Last updated: March 12, 2023, 14:01 "
Austria,"5,974,530","3,384","21,995",,"5,900,699","4,331","51,836",72,"658,952","2,426","211,273,524","23,302,116","9,066,710","Last updated: March 12, 2023, 14:01 "
Greece,"5,896,788",,"36,283",,"5,832,557","2,619","27,948",115,"571,580","3,517","102,228,365","9,909,078","10,316,637","Last updated: March 12, 2023, 14:01 "
Portugal,"5,570,473",,"26,266",,"5,539,213",,"4,994",61,"549,325","2,590","45,994,869","4,535,728","10,140,570","Last updated: March 12, 2023, 14:01 "
Ukraine,"5,399,231",,"111,298",,"5,270,797",,"17,136",,"125,005","2,577","32,603,805","754,855","43,192,122","Last updated: March 12, 2023, 14:01 "
Chile,"5,199,779",,"64,301",,"5,124,657",,"10,821",87,"270,116","3,340","48,611,775","2,525,261","19,250,195","Last updated: March 12, 2023, 14:01 "
Malaysia,"5,045,192",,"36,967",,"4,998,845",,"9,380",5,"152,050","1,114","68,309,333","2,058,684","33,181,072","Last updated: March 12, 2023, 14:01 "
Israel,"4,804,683",,"12,329",,"4,781,252",,"11,102",57,"515,192","1,322","41,373,364","4,436,346","9,326,000","Last updated: March 12, 2023, 14:01 "
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679","Last updated: March 12, 2023, 14:01 "
Belgium,"4,739,365",,"33,814",,"4,667,135",792,"38,416",43,"406,175","2,898","36,797,565","3,153,641","11,668,278","Last updated: March 12, 2023, 14:01 "
Thailand,"4,728,182",,"33,918",,"4,692,636",,"1,628",N/A,"67,470",484,"17,270,775","246,450","70,078,203","Last updated: March 12, 2023, 14:01 "
Czechia,"4,620,287",125,"42,504",,"4,568,947",947,"8,836",40,"430,323","3,959","57,046,497","5,313,183","10,736,784","Last updated: March 12, 2023, 14:01 "
Canada,"4,600,615",,"51,447",,"4,516,723","1,442","32,445",99,"119,844","1,340","66,343,123","1,728,207","38,388,419","Last updated: March 12, 2023, 14:01 "
Peru,"4,487,956",,"219,562",,"4,266,054",311,"2,340",32,"133,236","6,518","38,141,308","1,132,320","33,684,208","Last updated: March 12, 2023, 14:01 "
Switzerland,"4,392,464",,"14,452",,"4,373,995",,"4,017",39,"500,643","1,647","23,833,472","2,716,487","8,773,637","Last updated: March 12, 2023, 14:01 "
Philippines,"4,077,904",156,"66,210",8,"4,002,577",92,"9,117",162,"36,245",588,"34,689,841","308,329","112,508,994","Last updated: March 12, 2023, 14:01 "
South Africa,"4,067,453",,"102,595",,"3,912,506",,"52,352",192,"66,947","1,689","26,795,090","441,027","60,756,135","Last updated: March 12, 2023, 14:01 "
Romania,"3,346,046",,"67,736",,"3,267,395",,"10,915",119,"175,818","3,559","26,750,616","1,405,609","19,031,335","Last updated: March 12, 2023, 14:01 "
Denmark,"3,176,032",70,"8,308",4,"3,166,774",105,950,19,"544,312","1,424","129,211,588","22,144,421","5,834,950","Last updated: March 12, 2023, 14:01 "
Hong Kong,"2,883,936",,"13,468",,"2,864,727",,"5,741",28,"379,251","1,771","76,127,725","10,011,143","7,604,299","Last updated: March 12, 2023, 14:01 "
Sweden,"2,699,339",,"23,749",,"2,672,645",172,"2,945",8,"264,150","2,324","19,477,620","1,906,026","10,218,971","Last updated: March 12, 2023, 14:01 "
