"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
North America,"124,725,126",,"1,612,592",,"120,021,937","+1,529","3,090,597","7,892",,,,,,"Last updated: March 05, 2023, 13:55 "
Asia,"214,494,303","+19,555","1,537,456",+125,"199,126,511","+17,607","13,830,336","15,479",,,,,,"Last updated: March 05, 2023, 13:55 "
Europe,"246,578,283","+18,461","2,019,397",+48,"242,121,931","+24,102","2,436,955","6,475",,,,,,"Last updated: March 05, 2023, 13:55 "
South America,"68,046,073",+167,"1,350,933",+8,"66,293,956",+111,"401,184","10,185",,,,,,"Last updated: March 05, 2023, 13:55 "
Oceania,"14,015,805",,"26,203",,"13,852,354",,"137,248",55,,,,,,"Last updated: March 05, 2023, 13:55 "
Africa,"12,796,416",+12,"258,590",,"12,076,475",+26,"461,351",548,,,,,,"Last updated: March 05, 2023, 13:55 "
,721,,15,,706,,0,0,,,,,,"Last updated: March 05, 2023, 13:55 "
World,"680,656,727","+38,195","6,805,186",+181,"653,493,870","+43,375","20,357,671","40,634","87,322",873.0,,,,"Last updated: March 05, 2023, 13:55 "
USA,"105,394,979",,"1,146,735",,"102,861,683",,"1,386,561","2,726","314,795","3,425","1,167,638,933","3,487,517","334,805,269","Last updated: March 05, 2023, 13:55 "
India,"44,687,820",,"530,775",,"44,154,254",,"2,791",N/A,"31,769",377,"919,095,823","653,402","1,406,631,776","Last updated: March 05, 2023, 13:55 "
France,"39,638,159",,"165,030",,"39,399,753",,"73,376",869,"604,383","2,516","271,490,188","4,139,547","65,584,518","Last updated: March 05, 2023, 13:55 "
Germany,"38,210,850",,"168,397",,"37,749,800","+3,100","292,653",N/A,"455,522","2,008","122,332,384","1,458,359","83,883,596","Last updated: March 05, 2023, 13:55 "
Brazil,"37,076,053",,"699,276",,"36,249,161",,"127,616",N/A,"172,164","3,247","63,776,166","296,146","215,353,593","Last updated: March 05, 2023, 13:55 "
Japan,"33,260,228","+8,731","72,771",+50,"21,693,335",+640,"11,494,122",132,"264,843",579,"95,633,415","761,504","125,584,838","Last updated: March 05, 2023, 13:55 "
S. Korea,"30,555,102",,"34,020",,"30,350,681",,"170,401",143,"595,269",663,"15,804,065","307,892","51,329,899","Last updated: March 05, 2023, 13:55 "
Italy,"25,603,510",,"188,322",,"25,267,118",,"148,070",137,"424,864","3,125","268,196,399","4,450,449","60,262,770","Last updated: March 05, 2023, 13:55 "
